vocab_id,merge_key,kana,kanji,jlpt_level,jlpt_numeric,english_definitions_json,sources_json,genki_chapters_json,jmdict_seq_json,mapping_methods_json,matched_on_json
65,あて||当て,あて,当て,N1,1,"[""object, aim, end, hopes, expectations""]","[""jlpt_n1""]",[],[1448820],"[""jlpt_source""]",[]
66,あてじ||当て字,あてじ,当て字,N1,1,"[""phonetic-equivalent character, substitute character""]","[""jlpt_n1""]",[],[1448890],"[""jlpt_source""]",[]
67,あてはまる||当てはまる,あてはまる,当てはまる,N1,1,"[""to apply (a rule)""]","[""jlpt_n1""]",[],[1448930],"[""jlpt_source""]",[]
68,あてはめる||当てはめる,あてはめる,当てはめる,N1,1,"[""to apply, to adapt""]","[""jlpt_n1""]",[],[1586530],"[""jlpt_source""]",[]
69,あてる||宛てる,あてる,宛てる,N1,1,"[""to address""]","[""jlpt_n1""]",[],[1153480],"[""jlpt_source""]",[]
70,あとつぎ||跡継ぎ,あとつぎ,跡継ぎ,N1,1,"[""heir, successor""]","[""jlpt_n1""]",[],[1383690],"[""jlpt_source""]",[]
71,あとまわし||後回し,あとまわし,後回し,N1,1,"[""putting off, postponing""]","[""jlpt_n1""]",[],[1269500],"[""jlpt_source""]",[]
72,あなた||貴女,あなた,貴女,N1,1,"[""you, lady""]","[""jlpt_n1""]",[],[1223615],"[""jlpt_source""]",[]
73,あの||彼の,あの,彼の,N1,1,"[""that over there""]","[""jlpt_n1""]",[],[1000420],"[""jlpt_source""]",[]
74,あふれる||溢れる,あふれる,溢れる,N1,1,"[""to flood, to overflow, to brim over""]","[""jlpt_n1""]",[],[1167610],"[""jlpt_source""]",[]
75,あぶらえ||油絵,あぶらえ,油絵,N1,1,"[""oil painting""]","[""jlpt_n1""]",[],[1538630],"[""jlpt_source""]",[]
76,あぶる||炙る,あぶる,炙る,N1,1,"[""to scorch""]","[""jlpt_n1""]",[],[1568910],"[""jlpt_source""]",[]
77,あべこべ||,あべこべ,,N1,1,"[""contrary, opposite, inverse""]","[""jlpt_n1""]",[],[1000470],"[""jlpt_source""]",[]
78,あまえる||甘える,あまえる,甘える,N1,1,"[""to behave like a spoiled child, to fawn on""]","[""jlpt_n1""]",[],[1213440],"[""jlpt_source""]",[]
79,あまくち||甘口,あまくち,甘口,N1,1,"[""sweet flavour, mildness, flattery, stupidity""]","[""jlpt_n1""]",[],[1213510],"[""jlpt_source""]",[]
